Country,Year,FDI as % of GDP,Inflation Rate (%),GDP per Capita (constant 2015 $),Unemployment Rate (%)
United States,2020,0.642809742554384,1.23358439630629,59394.778327105,9.971
United States,2019,1.46823196172925,1.81221007526021,61330.6459767318,4.854
United States,2018,1.03945408799819,2.44258329692817,60127.2102775233,5.156
United States,2017,1.94177554246862,2.13011000365961,58703.1440782154,5.791
United States,2016,2.52268117379751,1.26158320570536,57658.6708825722,6.524
United States,2015,2.79548220201356,0.118627135552451,57040.2082136605,7.159
United States,2014,1.43033863092168,1.62222297740817,55817.5632471958,8.223
United States,2013,1.70686814034716,1.46483265562717,54844.2425797154,10.063
United States,2012,1.54020833064168,2.06933726526067,54080.2286497215,10.651
United States,2011,1.68911235141732,3.156841568622,53259.2552138539,12.106
United States,2010,1.75453192115262,1.6400434423899,52821.4047643404,13.389
United States,2009,1.11260018343609,-0.355546266299747,51863.6183411923,13.06
United States,2008,2.30937838146355,3.839100296651,53703.9628961267,7.852
United States,2007,2.39469075656401,2.85267248150138,54152.8292651299,6.04
United States,2006,2.16033590475335,3.22594410070404,53596.3152372,5.823
United States,2005,1.09166231632209,3.3927468454955,52649.5713054684,6.379
United States,2004,1.74869094348654,2.67723669309172,51348.3473376223,6.924
United States,2003,1.0221840098809,2.27009497336115,49905.5233074237,7.579
United States,2002,1.01613965201918,1.58603162650601,48967.3661201159,7.106
United States,2001,1.63009976725416,2.82617111885407,48597.4246142005,5.769
United States,2000,3.40578123865959,3.37685727149929,48616.25462578,4.732
United States,1999,3.244143080406,2.18802719697358,47234.2455275229,4.872
United States,1998,2.32984953795271,1.55227909874364,45596.4306843475,5.42
United States,1997,1.4240659805968,2.33768993730735,44151.6860414367,5.975
United States,1996,1.20969310261879,2.93120419993441,42783.8165697826,6.523
United States,1995,0.904218188320061,2.80541968853662,41710.8207249566,6.619
United States,1994,0.767643589421284,2.60744159215453,41106.988184368,7.32
United States,1993,0.732369583756588,2.95165696638559,40002.4762252856,
United States,1992,0.464853986617542,3.02881967814969,39447.9472855283,
United States,1991,0.56104703230478,4.23496396453849,38637.8398140572,
United States,1990,1.19450410722934,5.39795643990325,39200.0658112434,
France,2020,0.731611886624969,0.476498852725066,35806.6178917772,8.462
France,2019,1.96049400180615,1.10825492288294,38832.0242014303,8.55
France,2018,2.77657814362355,1.85081508315502,38259.6977698474,9.001
France,2017,1.68519106372672,1.03228275064662,37694.0833027304,9.595
France,2016,1.44051236962072,0.18333486112386,36956.7958003293,10.411
France,2015,1.7683472572844,0.0375143805125182,36652.9223052178,10.575
France,2014,0.177300838953455,0.50775882293799,36378.6186614699,10.3
France,2013,1.19000916982557,0.863715497861805,36203.1908693774,9.808
France,2012,1.22759662106149,1.9541953161351,36182.1511275816,9.176
France,2011,1.54287540837324,2.11159795174994,36244.1871625918,7.879
France,2010,1.47019572697397,1.53112270420926,35638.1215603451,7.802
France,2009,0.682106491646852,0.0876204781574552,35129.3622360858,7.915
France,2008,2.32049138897663,2.81286194914787,36354.6586641081,6.008
France,2007,3.14883387347586,1.4879980595386,36464.9592682158,6.076
France,2006,3.40253485643684,1.67512449608723,35821.8719947773,6.785
France,2005,3.87524735138074,1.74586936380482,35208.855797143,6.712
France,2004,1.67993859132812,2.14208964640241,34893.5298119974,6.694
France,2003,2.29600283284986,2.09847219146923,34183.6633444538,6.486
France,2002,3.43347287145825,1.9234122872706,34146.3062683243,6.143
France,2001,3.63966078420369,1.63478079549601,34009.8623977368,5.598
France,2000,3.03074697177105,1.67595988720927,33592.4668300573,6.968
France,1999,3.078804070037,0.537141639134645,32546.9340522187,8.591
France,1998,1.96382525516541,0.651126867833049,31633.1477495769,8.764
France,1997,1.5863558407043,1.20394294026962,30650.7444765253,9.445
France,1996,1.36838946976613,1.98288365089738,30057.9655533345,9.35
France,1995,1.48250444153683,1.79648142095595,29745.1287289494,8.347
France,1994,1.13323678428811,1.65551532926993,29237.535511328,9.528
France,1993,1.56892947410949,2.10446277124644,28670.8863286782,8.24
France,1992,1.55833266381818,2.36376046269353,28977.8889025405,
France,1991,1.1938090850068,3.21340732409687,28664.1318783352,
France,1990,1.0387249494969,3.19428338029475,28617.4435701151,
Germany,2020,4.54937644004137,0.144877925813982,41601.9731563516,3.495
Germany,2019,1.90205922776563,1.44565976888253,43292.6838917385,3.068
Germany,2018,4.19972179954621,1.73216879766942,42928.7412368012,3.247
Germany,2017,2.96641685553106,1.50949485109628,42639.5544087286,3.692
Germany,2016,1.86590691690458,0.491747008445174,41682.0322433511,4.025
Germany,2015,1.86072918161758,0.514426137125456,41103.2564363768,4.688
Germany,2014,0.502227192634127,0.906794000434246,40851.1617304855,5.041
Germany,2013,1.79976460383521,1.50472330251876,40135.0158319837,5.461
Germany,2012,1.85541340766522,2.00848884782956,40069.3539560742,5.426
Germany,2011,2.60141930420253,2.07517283735874,39977.3417095357,6.119
Germany,2010,2.53076202316038,1.1038103778926,37760.9136283996,7.595
Germany,2009,1.66219803352095,0.312739007368447,36190.3928860698,8.174
Germany,2008,0.826503411355668,2.62837981637219,38278.3130082531,7.073
Germany,2007,1.48433864746801,2.29834400700951,37842.3577913563,8.296
Germany,2006,2.91996035974954,1.57742642840563,36699.446781036,10.527
Germany,2005,2.10179308132486,1.54691114751328,35310.4704669272,11.602
Germany,2004,-0.725154707065695,1.66573696655992,35034.0806086181,11.946
Germany,2003,2.61434522365247,1.03422218628562,34619.6640670185,10.606
Germany,2002,2.46661519292525,1.42080615551526,34883.0580735445,9.021
Germany,2001,2.9267553994045,1.98385731334471,35011.068457503,8.152
Germany,2000,12.731503590187,1.44026838719741,34490.0757688619,7.59
Germany,1999,3.91971799476481,0.585433064230783,33559.3993737499,8.34
Germany,1998,1.31874189081361,0.911183535014403,32959.0735691418,9.51
Germany,1997,0.842609915413792,1.93937198922729,32313.2970704344,9.394
Germany,1996,0.624360056288723,1.44972701963239,31790.8668596056,8.028
Germany,1995,0.465679526092558,1.70616041317076,31628.1598130943,6.675
Germany,1994,0.340906850799452,2.69305639854954,31238.8790596628,7.285
Germany,1993,0.023164615377059,4.47457650752808,30615.1402117435,6.179
Germany,1992,-0.10028883558063,5.05697796731731,31121.0705650076,4.636
Germany,1991,0.253701121901446,4.04703259753466,30766.9289577727,
Germany,1990,0.144310232942164,2.69646824292392,29485.7099744881,
